name,block,x,y
s_10_18,A_l,-13026.909657125902,-35591.6162607719
s_10_19,A_l,-13026.311440508101,-35591.6377531308
s_10_20,A_l,-13025.7638671081,-35591.6377531308
s_10_21,A_l,-13025.265171579,-35591.6495613342
s_10_24,A_r,-13023.4447327081,-35591.7021735308
s_10_25,A_r,-13022.864949108101,-35591.7021735308
s_10_26,A_r,-13022.299607478999,-35591.7101688521
s_10_27,A_r,-13021.542667778998,-35591.6457484521
s_10_28,A_r,-13020.666602958101,-35591.5089123308
s_10_29,A_r,-13019.8613479581,-35591.4042291808
s_10_30,A_r,-13019.104408258101,-35591.2834409308
s_10_22,A_r,-13024.685387979,-35591.6737189842
s_10_23,A_r,-13024.0647790581,-35591.6860684308
s_11_13,A_l,-13030.8305382174,-35592.157114506204
s_11_14,A_l,-13030.0549742175,-35592.3209660554
s_11_15,A_l,-13029.2466399078,-35592.4738941681
s_11_16,A_l,-13028.410312939799,-35592.6179889107
s_11_17,A_l,-13027.6729809681,-35592.7217615585
s_11_18,A_l,-13027.040105710901,-35592.7742886751
s_11_19,A_l,-13026.401084668702,-35592.8179824216
s_11_20,A_l,-13025.7893722181,-35592.8398292948
s_11_21,A_l,-13025.2554122922,-35592.8723290713
s_11_22,A_r,-13024.6600849965,-35592.8996376629
s_11_23,A_r,-13024.019775486,-35592.8999081962
s_11_24,A_r,-13023.3862161621,-35592.9053699145
s_11_25,A_r,-13022.801812303,-35592.9108316328
s_11_26,A_r,-13022.2718899829,-35592.916196237005
s_11_27,A_r,-13021.550943166101,-35592.8288087441
s_11_28,A_r,-13020.7482062188,-35592.6705160272
s_11_29,A_r,-13019.9835656555,-35592.539434787795
s_11_30,A_r,-13019.2189250923,-35592.408353548395
s_12_13,A_l,-13030.804763408101,-35593.2613389308
s_12_14,A_l,-13030.023666058101,-35593.4223899308
s_12_15,A_l,-13029.250621258101,-35593.5834409308
s_12_16,A_l,-13028.432049428999,-35593.7539094102
s_12_17,A_l,-13027.634846979,-35593.8908027602
s_12_18,A_l,-13026.9475919581,-35593.929700580804
s_12_19,A_l,-13026.311440508101,-35593.9377531308
s_12_20,A_l,-13025.7638671081,-35593.9377531308
s_12_21,A_l,-13025.265171579,-35593.9495613342
s_12_24,A_r,-13023.4447327081,-35594.002173530804
s_12_25,A_r,-13022.864949108101,-35594.002173530804
s_12_26,A_r,-13022.299607478999,-35594.0101688521
s_12_27,A_r,-13021.542667778998,-35593.9457484521
s_12_28,A_r,-13020.666602958101,-35593.8089123308
s_12_29,A_r,-13019.8613479581,-35593.7042291808
s_12_30,A_r,-13019.104408258101,-35593.5834409308
s_12_22,A_r,-13024.685387979,-35593.9737189842
s_12_23,A_r,-13024.0647790581,-35593.9860684308
s_13_13,A_l,-13030.8305382174,-35594.5571145061
s_13_14,A_l,-13030.0549742175,-35594.7209660554
s_13_15,A_l,-13029.2466399078,-35594.8738941681
s_13_16,A_l,-13028.410312939799,-35595.017988910695
s_13_17,A_l,-13027.6729809681,-35595.1217615585
s_13_18,A_l,-13027.040105710901,-35595.174288675094
s_13_19,A_l,-13026.401084668702,-35595.2179824215
s_13_20,A_l,-13025.7893722181,-35595.2398292948
s_13_21,A_l,-13025.2554122922,-35595.2723290713
s_13_22,A_r,-13024.6600849965,-35595.2996376629
s_13_23,A_r,-13024.019775486,-35595.299908196204
s_13_24,A_r,-13023.3862161621,-35595.3053699145
s_13_25,A_r,-13022.801812303,-35595.3108316328
s_13_26,A_r,-13022.2718899829,-35595.316196237
s_13_27,A_r,-13021.550943166101,-35595.228808744105
s_13_28,A_r,-13020.7482062188,-35595.070516027205
s_13_29,A_r,-13019.9835656555,-35594.9394347878
s_13_30,A_r,-13019.2189250923,-35594.8083535484
s_15_13,A_l,-13030.804763408101,-35596.8613389308
s_15_14,A_l,-13030.023666058101,-35597.022389930804
s_15_15,A_l,-13029.250621258101,-35597.1834409308
s_15_16,A_l,-13028.432049428999,-35597.3539094102
s_15_17,A_l,-13027.634846979,-35597.4908027602
s_15_18,A_l,-13026.9475919581,-35597.5297005808
s_15_19,A_l,-13026.311440508101,-35597.537753130804
s_15_20,A_l,-13025.7638671081,-35597.537753130804
s_15_21,A_l,-13025.265171579,-35597.5495613342
s_15_24,A_r,-13023.4447327081,-35597.6021735308
s_15_25,A_r,-13022.864949108101,-35597.6021735308
s_15_26,A_r,-13022.299607478999,-35597.6101688521
s_15_27,A_r,-13021.542667778998,-35597.5457484521
s_15_28,A_r,-13020.666602958101,-35597.4089123308
s_15_29,A_r,-13019.8613479581,-35597.3042291808
s_15_30,A_r,-13019.104408258101,-35597.1834409308
s_15_22,A_r,-13024.685387979,-35597.5737189842
s_15_23,A_r,-13024.0647790581,-35597.5860684308
s_14_13,A_l,-13030.804763408101,-35595.661338930804
s_14_14,A_l,-13030.023666058101,-35595.8223899308
s_14_15,A_l,-13029.250621258101,-35595.9834409308
s_14_16,A_l,-13028.432049428999,-35596.1539094102
s_14_17,A_l,-13027.634846979,-35596.2908027602
s_14_18,A_l,-13026.9475919581,-35596.3297005808
s_14_19,A_l,-13026.311440508101,-35596.3377531308
s_14_20,A_l,-13025.7638671081,-35596.3377531308
s_14_21,A_l,-13025.265171579,-35596.3495613342
s_14_24,A_r,-13023.4447327081,-35596.4021735308
s_14_25,A_r,-13022.864949108101,-35596.4021735308
s_14_26,A_r,-13022.299607478999,-35596.4101688521
s_14_27,A_r,-13021.542667778998,-35596.3457484521
s_14_28,A_r,-13020.666602958101,-35596.2089123308
s_14_29,A_r,-13019.8613479581,-35596.104229180804
s_14_30,A_r,-13019.104408258101,-35595.9834409308
s_14_22,A_r,-13024.685387979,-35596.3737189842
s_14_23,A_r,-13024.0647790581,-35596.3860684308
s_15_12,A_l,-13031.599669178999,-35596.719822368395
s_14_12,A_l,-13031.599669178999,-35595.5367030923
s_13_12,A_l,-13031.6118909678,-35594.3954497757
s_12_12,A_l,-13031.599669178999,-35593.119758516004
s_11_12,A_l,-13031.6118909678,-35592.0545642355
s_10_12,A_l,-13031.599669178999,-35590.803519963796
s_9_12,A_l,-13031.6118909678,-35589.561560623195
s_8_12,A_l,-13031.599669178999,-35588.3619283996
s_7_12,A_l,-13031.6080795333,-35587.2616217319
s_6_12,A_l,-13031.599669178999,-35586.1210428594
s_5_12,A_l,-13031.6118909678,-35585.0051425548
s_4_12,A_l,-13031.599669178999,-35583.7794512952
s_3_12,A_l,-13031.6080795333,-35582.5601844349
s_3_31,A_r,-13018.4292258419,-35582.8206912661
s_4_31,A_r,-13018.366995478998,-35583.991208319196
s_5_31,A_r,-13018.4292258419,-35585.1869298183
s_6_31,A_r,-13018.3714999521,-35586.337870485804
s_7_31,A_r,-13018.4292258419,-35587.4024623465
s_8_31,A_r,-13018.3714999521,-35588.6345326524
s_9_31,A_r,-13018.4292258419,-35589.8194069227
s_10_31,A_r,-13018.366995478998,-35591.0659830119
s_11_31,A_r,-13018.433730315,-35592.2312808965
s_12_31,A_r,-13018.366995478998,-35593.4582806001
s_13_31,A_r,-13018.4292258419,-35594.627943063104
s_14_31,A_r,-13018.366995478998,-35595.773813128304
s_15_31,A_r,-13018.366995478998,-35596.9569324044
s_17_13,C_l,-13030.804763408101,-35600.4613389308
s_17_14,C_l,-13030.023666058101,-35600.6223899308
s_17_15,C_l,-13029.250621258101,-35600.7834409308
s_17_16,C_l,-13028.432049428999,-35600.9539094102
s_17_17,C_l,-13027.634846979,-35601.0908027602
s_17_18,C_l,-13026.9475919581,-35601.1297005808
s_17_19,C_l,-13026.311440508101,-35601.1377531308
s_17_20,C_l,-13025.7638671081,-35601.1377531308
s_17_21,C_l,-13025.265171579,-35601.1495613342
s_17_24,C_r,-13023.4447327081,-35601.2021735308
s_17_25,C_r,-13022.864949108101,-35601.2021735308
s_17_26,C_r,-13022.299607478999,-35601.2101688521
s_17_27,C_r,-13021.542667778998,-35601.1457484521
s_17_28,C_r,-13020.666602958101,-35601.0089123308
s_17_29,C_r,-13019.8613479581,-35600.9042291808
s_17_30,C_r,-13019.104408258101,-35600.7834409308
s_17_22,C_r,-13024.685387979,-35601.1737189842
s_17_23,C_r,-13024.0647790581,-35601.1860684308
s_18_13,C_l,-13030.804763408101,-35601.5613389308
s_18_14,C_l,-13030.023666058101,-35601.7223899308
s_18_15,C_l,-13029.250621258101,-35601.883440930804
s_18_16,C_l,-13028.432049428999,-35602.0539094102
s_18_17,C_l,-13027.634846979,-35602.1908027602
s_18_18,C_l,-13026.9475919581,-35602.2297005808
s_18_19,C_l,-13026.311440508101,-35602.2377531308
s_18_20,C_l,-13025.7638671081,-35602.2377531308
s_18_21,C_l,-13025.265171579,-35602.249561334196
s_18_24,C_r,-13023.4447327081,-35602.3021735308
s_18_25,C_r,-13022.864949108101,-35602.3021735308
s_18_26,C_r,-13022.299607478999,-35602.3101688521
s_18_27,C_r,-13021.542667778998,-35602.2457484521
s_18_28,C_r,-13020.666602958101,-35602.1089123308
s_18_29,C_r,-13019.8613479581,-35602.0042291808
s_18_30,C_r,-13019.104408258101,-35601.883440930804
s_18_22,C_r,-13024.685387979,-35602.2737189842
s_18_23,C_r,-13024.0647790581,-35602.2860684308
s_19_13,C_l,-13030.804763408101,-35602.661338930804
s_19_14,C_l,-13030.023666058101,-35602.8223899308
s_19_15,C_l,-13029.250621258101,-35602.9834409308
s_19_16,C_l,-13028.432049428999,-35603.1539094102
s_19_17,C_l,-13027.634846979,-35603.2908027602
s_19_18,C_l,-13026.9475919581,-35603.3297005808
s_19_19,C_l,-13026.311440508101,-35603.3377531308
s_19_20,C_l,-13025.7638671081,-35603.3377531308
s_19_21,C_l,-13025.265171579,-35603.3495613342
s_19_24,C_r,-13023.4447327081,-35603.4021735308
s_19_25,C_r,-13022.864949108101,-35603.4021735308
s_19_26,C_r,-13022.299607478999,-35603.4101688521
