,0,1,2,3,4,5,6,7
317500,21,71,116,49,59,64,0,0
318012,18,69,117,55,62,64,0,0
318524,17,71,114,57,61,63,0,0
319036,18,76,118,51,57,63,0,0
319548,18,70,114,54,61,62,0,0
320060,16,74,114,56,60,66,0,0
320572,16,70,122,52,54,62,0,0
321084,16,65,118,54,63,60,0,0
321596,23,68,116,51,60,62,0,0
322108,21,73,118,51,58,62,0,0
322620,48,44,20,36,12,20,0,0
323132,50,47,22,40,16,16,0,0
323644,52,45,20,35,13,18,0,0
324156,51,43,24,47,15,19,0,0
324668,46,40,20,44,15,21,0,0
325180,51,37,21,46,16,22,0,0
325692,45,42,24,44,17,19,0,0
326204,48,40,22,46,16,12,0,0
326716,52,41,23,42,16,21,0,0
327228,53,45,24,38,7,16,0,0
327740,53,47,41,39,21,44,0,0
328252,53,50,42,41,26,50,0,0
328764,55,50,42,37,21,49,0,0
329276,54,44,44,49,27,47,0,0
329788,49,46,38,46,26,46,0,0
330300,53,42,35,47,29,48,0,0
330812,46,46,45,46,24,46,0,0
331324,49,45,44,47,28,36,0,0
331836,53,43,44,45,27,50,0,0
332348,58,46,42,42,15,46,0,0
332860,54,49,61,43,32,70,0,0
333372,53,54,62,43,34,75,0,0
333884,54,53,61,41,36,72,0,0
334396,55,49,63,50,36,75,0,0
334908,51,46,59,50,36,74,0,0
335420,57,45,58,50,38,72,0,0
335932,49,50,64,50,36,74,0,0
336444,53,47,63,51,38,65,0,0
336956,55,47,66,47,38,77,0,0
337468,59,51,63,45,29,72,0,0
337980,48,64,49,55,32,18,0,0
338492,49,66,50,53,37,21,0,0
339004,51,64,47,54,27,16,0,0
339516,50,63,50,63,29,20,0,0
340028,46,66,53,57,23,18,0,0
340540,52,60,49,57,31,15,0,0
341052,45,66,49,60,27,18,0,0
341564,48,62,52,64,25,12,0,0
342076,50,64,52,57,29,24,0,0
342588,53,68,47,56,21,23,0,0
343100,51,68,70,58,41,44,0,0
343612,51,69,71,58,46,50,0,0
344124,52,68,69,57,41,49,0,0
344636,54,67,72,67,41,46,0,0
345148,50,69,72,59,34,46,0,0
345660,56,63,69,57,36,45,0,0
346172,48,68,69,61,40,48,0,0
346684,51,65,71,67,40,35,0,0
347196,53,66,71,61,41,50,0,0
347708,57,71,68,61,33,52,0,0
348220,54,71,88,60,50,71,0,0
348732,52,74,91,59,55,73,0,0
349244,56,72,86,59,49,69,0,0
349756,56,70,91,69,51,73,0,0
350268,51,74,93,61,43,74,0,0
350780,57,65,89,63,47,71,0,0
351292,49,73,87,66,49,71,0,0
351804,52,68,90,70,50,66,0,0
352316,54,70,91,63,49,79,0,0
352828,59,75,87,63,44,71,0,0
353340,49,87,77,68,44,17,0,0
353852,49,84,78,71,47,16,0,0
354364,51,85,75,67,45,18,0,0
